Tweet id,Tweet permalink,Tweet text,time (utc),date (cst),"score (10x user profile click, 5x retweet, 7x reply, 1x favorite, 1x url click, 1x detail expand)",Followers (est),impressions,engagements,engagement rate,retweets,replies,favorites,user profile clicks,url clicks,hashtag clicks,detail expands,time of day,day of week,char length (not including url),topic:technology?,topic:privacy?,topic:data?,topic:education?,content type: website?,content type: blog?,content type: article?,content type: video?,content source,number of hashtags,#edchat?,#edtech?,#dataforstudents?,#eddata or #educationdata?,conference related?,image?,11-noon Tuesday?,url?,quotation?,questionmark?,people count,people:news,people:author,people:other,hand scored?,normalization factor,normalized score,standard deviation,promoted impressions,promoted engagements,promoted engagement rate,promoted retweets,promoted replies,promoted favorites,promoted user profile clicks,promoted url clicks,promoted hashtag clicks,promoted detail expands,promoted permalink clicks,promoted embedded media clicks,promoted app opens,promoted app installs,promoted follows,promoted email tweet,promoted dial phone,promoted video views
5.83E+17,https://twitter.com/Learnmetrics/status/582644859846189056,Teachers help students _ÑÒknow themselves and become their very best. The process of value creation starts inside_Ñ http://t.co/xBYwz31S60,2015-03-30 20:45 +0000,3/30/15,3,966,258,3,0.011627907,0,0,0,0,2,0,1,15:45,Monday,116,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.55257174,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.83E+17,https://twitter.com/Learnmetrics/status/582570620430512128,"""Your typical guidance counselor in the United States has about 400 students with whom he or she is_Ñ responsible for. http://t.co/dxH3A1WXYx",2015-03-30 15:50 +0000,3/30/15,10,966,250,1,0.004,0,0,0,1,0,0,0,10:50,Monday,119,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,0,,,,,0.55257174,6,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.83E+17,https://twitter.com/Learnmetrics/status/582520403542843392,_ÑÒIt tears me up sometimes to see the way in which people talk about teachers_Ñ http://t.co/E1lKNLo0PX,2015-03-30 12:31 +0000,3/30/15,3,966,217,3,0.013824885,0,0,0,0,3,0,0,7:31,Monday,81,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.55257174,2,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.82E+17,https://twitter.com/Learnmetrics/status/581552608634146816,"Aziz Royesh is ""a born teacher, one of those people whose joy is in sharing information"". @npr_ed | http://t.co/jum1mJZUG5",2015-03-27 20:25 +0000,3/27/15,13,951,350,4,0.011428571,0,0,0,1,2,0,1,15:25,Friday,99,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,1,,,,,0.56133339,7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/581482216141770753,"_ÑÒThe hard work of America_Ñés educators, families, communities and students is paying off_Ñ - @arneduncan http://t.co/xyomdjzjMA #edchat",2015-03-27 15:45 +0000,3/27/15,12,951,375,3,0.008,0,0,2,1,0,0,0,10:45,Friday,108,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.56133339,7,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/581436909089591296,Would you give an electric screwdriver to your 6 year old to help defend against zombies? http://t.co/JbnQJkzmLQ,2015-03-27 12:45 +0000,3/27/15,92,951,316,20,0.063291139,0,0,0,8,1,0,11,7:45,Friday,89,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,TRUE,0,,,,,0.56133339,52,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/581191686447058945,"Teachers are _ÑÒtoo often turned into scapegoats by politicians, policymakers, foundations and the media._Ñ @Ericnpr http://t.co/1qLeIczshp",2015-03-26 20:31 +0000,3/26/15,23,946,1109,7,0.006311993,4,0,1,0,1,0,1,15:31,Thursday,117,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,1,,,,,0.56425394,13,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/581131311903059968,_ÑÒthe Incubator School is one of the most economically and ethnically diverse_Ñ http://t.co/VkQWnPiTH3 #dataforstudents,2015-03-26 16:31 +0000,3/26/15,0,946,308,0,0,0,0,0,0,0,0,0,11:31,Thursday,81,,,,,,,,,,1,FALSE,FALSE,TRUE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.56425394,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/581073253013295105,_ÑÒwe have a disturbingly long way to go before our teachers feel that society is rooting for them_Ñ http://t.co/nuz9yXKsFn #edchat,2015-03-26 12:40 +0000,3/26/15,0,946,267,0,0,0,0,0,0,0,0,0,7:40,Thursday,101,,,,,,,,,,1,TRUE,FALSE,FALSE,FALSE,,,FALSE,TRUE,FALSE,FALSE,0,,,,,0.56425394,0,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5.81E+17,https://twitter.com/Learnmetrics/status/580826593096015872,"Play can be a ""structured opportunity to reinforce the skill set necessary for 21st-century leadership._Ñ http://t.co/Ms04ZfpdQM",2015-03-25 20:20 +0000,3/25/15,1,941,244,1,0.004098361,0,0,0,0,0,0,1,15:20,Wednesday,106,,,,,,,,,,0,FALSE,FALSE,FALSE,FALSE,,,FALSE,TRUE,TRUE,FALSE,0,,,,,0.56717449,1,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
